,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ъ,Ы,Ь,Э,Ю,Я
Ф,0.08633436680181254,0.0,0.0,0.0,0.0,0.08347245409015025,0.0,0.0,0.35678511805389934,0.0,0.001669449081803005,0.04316718340090627,0.0009539709038874314,0.00023849272597185786,0.04316718340090627,0.0004769854519437157,0.3059861674218936,0.004531361793465299,0.00882423086095874,0.05079895063200572,0.0026234199856904365,0.0,0.0,0.0004769854519437157,0.0,0.0,0.0,0.006200810875268304,0.0023849272597185785,0.00023849272597185786,0.001669449081803005,0.0
Х,0.21723970944309928,0.0,0.03234866828087167,0.0005811138014527845,0.0001937046004842615,0.008135593220338983,9.685230024213075e-05,0.0,0.03922518159806295,0.0,0.0,0.023825665859564166,0.013946731234866828,0.028958837772397095,0.5551573849878935,0.00029055690072639226,0.02188861985472155,0.015593220338983051,0.009200968523002421,0.02963680387409201,0.0,0.0,0.0,0.000774818401937046,0.002324455205811138,0.0,0.00048426150121065375,0.0,0.0,9.685230024213075e-05,0.0,0.0
Ц,0.2040789645705321,0.0,0.007190482416002092,0.002353248790691594,0.0003922081317819323,0.3161197542162374,0.00026147208785462153,0.0,0.07883383448816839,0.0,0.03556020394822853,0.0007844162635638645,0.0003922081317819323,0.002222512746764283,0.12171525689632631,0.0,0.0,0.00013073604392731077,0.0003922081317819323,0.17597071512616028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052686625702706234,0.0,0.0,0.0,0.0009151523074911753
Ч,0.16725174761134345,0.0,0.00045788943496443725,0.0,0.0,0.2599590952104765,0.0,0.0,0.11908177905308465,0.0,0.019017674532189627,0.002655758722793736,0.0003968375103025123,0.04069110778717299,0.005250465520925547,3.0525962330962486e-05,0.0016178760035410115,0.0,0.3096248359229525,0.05164992826398852,0.0,0.0,0.0,0.0,0.007662016545071583,0.0,0.0,0.0,0.014621935956531029,3.0525962330962486e-05,0.0,0.0
Ш,0.18811364606555045,0.0,0.001707536878053408,0.0,0.0,0.29350661670540246,0.0,0.0,0.23545036285158658,0.0,0.050562064222359246,0.05625385381587061,0.001707536878053408,0.04842764312479249,0.0343878954607978,0.00450600009486316,0.000189726319783712,4.7431579945928e-05,0.011431010766968648,0.03936821135512024,0.0,0.0,0.000189726319783712,0.0,0.000332021059621496,0.0,0.0,0.0,0.03358155860171702,0.000189726319783712,0.0,4.7431579945928e-05
Щ,0.14919652071354858,0.0,0.00014742739200943535,0.0,0.0,0.5033171163202123,0.0,0.0,0.2914639540026537,0.0,0.0,0.0,0.0,0.012089046144773699,0.0002948547840188707,0.0,0.0008845643520566122,0.0,0.00014742739200943535,0.03538257408226449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006929087424443462,0.00014742739200943535,0.0,0.0
Ъ,0.0,0.0,0.0,0.0,0.0,0.46802030456852795,0.0010152284263959391,0.0,0.0010152284263959391,0.0,0.0,0.0,0.0010152284263959391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28223350253807106,0.2467005076142132
Ы,0.0,0.029100770941889873,0.08928299357040559,0.006978090623762074,0.008440747173720937,0.09202547460157845,0.0017064326416186733,0.0043879696498765886,0.00140171252704391,0.11494042721760063,0.01410854130481153,0.19919553889752262,0.12194898985282018,0.02047719169942408,0.00012188804582990523,0.00865405125392327,0.024133833074321237,0.06386933601487034,0.05725690952859798,0.00030472011457476306,0.0,0.08605296035591309,0.0005180241947770972,0.014321845385013864,0.04052777523844349,0.00015236005728738153,0.0,0.0,0.0,3.0472011457476307e-05,0.0,6.0944022914952614e-05
Ь,0.0007256488975718672,0.014122243929667875,0.0014512977951437343,0.00424225509349707,0.006921574099916271,0.18922690482835614,0.0,0.020764722299748815,0.01864359475300028,0.0,0.16801562936087078,0.0,0.04175272118336589,0.16070332123918504,0.004521350823332403,0.00039073402176946693,0.0,0.12620708903153782,0.011610382361149875,0.0,0.00027909572983533354,0.0001116382919341334,0.013229137594194808,0.008651967624895339,0.07066703879430644,0.0012838403572425342,0.0,0.0,0.0,5.58191459670667e-05,0.06162433714764164,0.07479765559586939
Э,0.0,0.0,0.00014255167498218105,0.0017106200997861725,0.0011404133998574484,0.0,0.0,0.0011404133998574484,0.0,0.003848895224518888,0.018531717747683536,0.031218816821097648,0.0012829650748396293,0.009978617248752673,0.0,0.0029935851746258017,0.005274411974340698,0.014397719173200286,0.9046329294369209,0.0,0.00042765502494654313,0.002851033499643621,0.00014255167498218105,0.0,0.00014255167498218105,0.0,0.0,0.0,0.0,0.00014255167498218105,0.0,0.0
Ю,0.0003266906239790918,0.18245671349232276,0.0001633453119895459,0.0013067624959163672,0.19356419470761188,0.0003266906239790918,0.0024501796798431885,0.008657301535445933,0.0001633453119895459,0.0,0.005063704671675923,0.020581509310682783,0.009474028095393662,0.015027768703038223,0.0,0.0009800718719372753,0.022051617118588697,0.045900032669062396,0.1925841228356746,0.0001633453119895459,0.0,0.003430251551780464,0.008330610911466842,0.03021888271806599,0.037242731133616466,0.20336491342698465,0.0,0.0,0.0,0.0,0.016171185886965044,0.0
Я,9.499382540134892e-05,0.004987175833570818,0.03714258573192743,0.017003894746841455,0.07950983186092904,0.013156644818086824,0.0648807827491213,0.12358696684715494,0.002184857984231025,0.004749691270067445,0.017241379310344827,0.11318514296570722,0.04711693739906906,0.07509261897976631,0.0,0.003419777714448561,0.006412083214591051,0.09456635318704285,0.1827681200721953,0.00028498147620404675,4.749691270067446e-05,0.025220860644058138,0.005082169658972167,0.017098888572242805,0.001994870333428327,0.027263227890187137,0.0,0.0,0.0,0.0,0.014961527500712453,0.020946138500997434
